GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
5001400US0101,0101,"Congressional District 1 (114th Congress), Alabama",255303,4331,171735,4694,123880,4239,83568,3900,9.8,1.0,6.6,1.0,2.5,0.7,17.4,2.2,6.1,0.7,3.4,0.8,1.7,0.6,11.9,1.6,13.9,1.1,10.2,1.1,6.9,1.3,21.7,2.5,10.6,1.0,9.8,1.2,8.5,1.3,12.5,2.1,15.2,1.3,15.6,1.6,14.6,1.9,14.1,2.1,17.6,1.2,19.4,1.6,22.0,2.0,13.1,2.0,10.5,1.0,13.4,1.4,16.5,1.6,4.3,1.1,10.7,0.9,13.8,1.3,17.3,1.6,3.9,1.2,3.1,0.6,4.2,0.8,5.5,1.0,0.6,0.4,2.5,0.5,3.4,0.7,4.5,0.9,0.4,0.3,44030,2118,54113,3019,68122,3475,24338,1788,59231,2077,70170,2606,82409,3260,35193,2343,35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
5001400US0102,0102,"Congressional District 2 (114th Congress), Alabama",258138,4052,169568,4296,116971,3954,88570,3739,9.9,0.8,7.2,0.9,2.1,0.6,16.0,1.8,6.9,0.6,4.1,0.6,1.5,0.4,13.2,1.5,13.4,0.8,9.9,1.0,6.0,0.9,20.2,1.9,11.9,0.8,11.1,1.2,9.4,1.2,13.3,1.7,15.4,0.9,14.8,1.1,14.8,1.3,16.7,1.9,17.4,1.0,20.1,1.4,23.4,1.8,12.2,1.6,10.2,0.8,12.7,1.0,15.8,1.4,4.6,1.1,9.9,0.9,13.5,1.2,18.0,1.7,2.6,0.8,2.9,0.4,4.0,0.6,5.5,0.9,0.6,0.3,2.0,0.3,2.6,0.5,3.5,0.6,0.7,0.4,42628,1211,52668,1570,66162,2142,25350,1636,56516,1372,66762,1760,80717,2200,34927,1825,33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
5001400US0103,0103,"Congressional District 3 (114th Congress), Alabama",270971,4757,182965,5016,126235,4625,88006,4189,11.7,0.9,7.3,0.9,2.2,0.7,21.3,2.0,7.8,0.9,5.2,0.9,1.8,0.5,14.1,1.8,12.1,0.9,9.3,1.0,5.5,1.1,20.2,2.2,12.0,1.0,10.7,1.1,8.8,1.2,13.1,2.2,15.1,1.2,15.7,1.4,16.5,1.8,13.7,2.0,17.2,1.2,19.9,1.5,23.5,1.8,11.1,2.0,10.0,1.1,12.6,1.4,15.4,1.7,3.8,1.1,9.3,0.8,12.6,1.2,16.9,1.5,1.5,0.6,2.9,0.5,4.0,0.7,5.6,1.0,0.6,0.4,2.0,0.4,2.7,0.6,3.8,0.8,0.4,0.3,40896,1276,51660,1923,65297,2973,22085,1220,56017,1994,67323,2671,82224,3609,30259,1440,33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X)
5001400US0104,0104,"Congressional District 4 (114th Congress), Alabama",259439,3338,180662,4282,137077,4201,78777,3225,9.1,0.8,5.4,0.8,2.1,0.5,18.6,1.9,8.3,0.8,4.5,0.7,2.7,0.6,18.0,1.9,16.0,1.0,12.8,1.1,10.0,1.2,23.5,2.1,12.2,0.9,12.2,1.1,10.7,1.1,12.8,1.6,14.6,1.1,16.3,1.3,16.1,1.4,10.5,1.6,18.0,1.1,20.9,1.5,23.3,1.8,9.9,1.8,9.7,0.9,12.4,1.1,15.0,1.4,3.1,0.9,8.2,0.8,10.6,1.1,13.5,1.3,2.5,0.9,2.3,0.4,3.0,0.5,3.9,0.6,0.7,0.5,1.5,0.3,2.0,0.4,2.6,0.6,0.3,0.2,39246,1094,48701,1889,57170,1905,20415,1088,52373,1281,61563,1968,70778,2291,29905,1591,34.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X)
5001400US0105,0105,"Congressional District 5 (114th Congress), Alabama",274891,3967,183799,4705,138974,3867,91092,4062,8.6,0.8,5.6,0.9,1.7,0.5,15.6,1.8,6.1,0.7,3.1,0.8,1.1,0.4,12.8,1.7,11.0,0.8,8.1,0.9,5.3,0.9,17.3,1.7,11.0,1.0,8.4,0.9,7.1,0.9,16.1,2.4,13.9,1.0,14.2,1.3,13.6,1.4,13.0,2.2,16.3,1.2,17.3,1.6,18.7,1.8,13.4,1.6,11.5,0.9,14.1,1.2,16.1,1.5,6.1,1.3,12.9,0.9,17.5,1.2,21.2,1.5,3.7,0.9,4.8,0.5,6.5,0.8,8.4,1.1,1.2,0.5,3.8,0.5,5.3,0.7,6.7,0.9,0.8,0.5,49202,1396,64062,2227,78390,2836,27341,1741,68903,2353,83607,3308,97519,4278,37728,1742,29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X)
5001400US0106,0106,"Congressional District 6 (114th Congress), Alabama",265000,4164,184155,4474,143690,4501,80845,4740,5.8,0.7,3.4,0.7,1.2,0.4,12.0,1.6,4.4,0.6,3.2,0.6,1.9,0.5,8.0,1.5,10.3,1.0,6.8,1.0,3.7,0.7,18.7,2.4,10.9,0.9,8.9,1.0,7.1,1.0,15.7,2.3,12.2,1.0,12.4,1.3,10.7,1.3,12.1,1.7,18.3,1.2,17.7,1.3,18.6,1.5,18.2,2.4,13.1,1.0,15.5,1.2,17.6,1.4,7.8,1.5,14.3,1.1,17.8,1.5,21.4,1.7,4.9,1.3,6.0,0.7,8.1,1.0,9.8,1.3,1.2,0.6,4.8,0.6,6.3,0.8,7.9,1.1,1.3,0.6,58073,2314,71499,1931,82629,2757,31295,1424,76881,2081,90150,3113,N,N,44289,2302,32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X)
5001400US0107,0107,"Congressional District 7 (114th Congress), Alabama",257475,4939,159631,3879,83199,3577,97844,4279,16.3,1.2,11.8,1.7,2.5,0.8,24.7,2.0,8.9,0.9,7.0,1.0,3.8,0.9,12.4,1.7,16.0,1.0,13.8,1.4,8.3,1.4,20.1,1.6,12.9,0.9,12.3,1.2,9.6,1.4,13.7,1.8,14.6,1.1,15.1,1.5,15.9,2.0,13.2,1.5,13.8,1.1,16.3,1.5,20.7,2.1,9.5,1.5,8.6,0.9,10.8,1.2,17.2,2.1,4.1,1.0,6.3,0.7,8.9,1.1,14.6,1.9,1.7,0.6,1.5,0.3,2.1,0.4,4.1,0.8,0.4,0.3,1.2,0.3,1.8,0.5,3.4,0.9,0.3,0.3,31563,926,39891,1492,60603,1926,20869,1292,45419,1834,54391,2921,76424,5254,29311,1718,40.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.1,(X)
5001400US0200,0200,"Congressional District (at Large) (114th Congress), Alaska",249659,2978,165015,3765,124028,3565,84644,3784,3.9,0.5,3.0,0.6,1.1,0.4,7.1,1.2,3.4,0.5,1.8,0.4,0.9,0.4,7.3,1.2,7.4,0.7,5.6,0.7,2.8,0.6,12.2,1.7,7.6,0.8,6.3,0.8,4.7,1.0,9.8,1.4,11.5,0.9,10.2,1.0,8.3,1.1,15.1,1.9,18.6,1.2,17.7,1.4,16.7,1.4,20.1,1.9,13.6,1.0,14.9,1.4,16.7,1.5,10.1,1.3,19.5,1.1,22.4,1.3,26.5,1.6,12.4,1.7,8.0,0.6,10.3,0.9,12.7,1.1,3.0,0.7,6.4,0.8,7.7,1.0,9.6,1.3,2.8,1.1,71583,1784,82307,2332,97254,3420,48029,2650,89094,2252,98975,2717,112794,3303,64015,3636,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X)
5001400US0401,0401,"Congressional District 1 (114th Congress), Arizona",249074,5103,170479,4319,120495,3872,78595,4150,10.6,0.9,7.9,1.0,3.5,0.8,18.3,2.1,5.8,0.6,4.2,0.7,2.6,0.8,10.2,1.4,10.7,0.9,8.0,0.9,5.3,0.8,16.6,2.2,10.4,0.9,10.1,1.0,8.3,1.0,12.6,1.8,14.3,0.9,14.8,1.2,14.9,1.4,13.9,1.8,18.9,1.1,20.0,1.2,22.3,1.6,14.3,1.9,11.9,0.9,14.0,1.0,16.4,1.5,7.1,1.4,11.2,0.8,13.7,1.1,16.6,1.4,4.8,1.3,3.2,0.6,3.9,0.7,5.4,0.9,1.2,0.7,2.8,0.4,3.4,0.5,4.7,0.7,1.0,0.4,47618,1468,55598,2257,67074,2462,28371,1966,61007,1537,68854,1950,80642,2545,40003,2199,34.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X)
5001400US0402,0402,"Congressional District 2 (114th Congress), Arizona",292370,5413,172454,4350,128679,3877,119916,4915,7.1,0.7,3.7,0.7,1.7,0.6,13.0,1.4,6.5,0.7,3.8,0.7,2.5,0.7,10.9,1.5,11.8,1.1,7.0,1.0,4.3,0.9,18.8,2.0,11.8,0.9,10.0,1.3,8.5,1.2,14.2,1.4,14.6,1.0,14.3,1.3,12.8,1.4,15.5,1.6,18.4,1.1,21.5,1.4,22.1,1.6,13.7,1.4,11.2,0.8,13.8,1.3,16.0,1.6,7.0,1.0,11.1,0.9,15.3,1.2,18.8,1.6,4.1,0.9,3.8,0.5,5.5,0.7,7.1,1.0,1.1,0.4,3.6,0.5,5.0,0.8,6.2,1.0,1.6,0.5,47586,1459,61480,2237,72012,3000,30302,1277,65979,1778,80535,3095,91358,3556,42868,1993,27.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X)
5001400US0403,0403,"Congressional District 3 (114th Congress), Arizona",234874,4814,169180,4452,109507,4410,65694,3567,10.7,1.0,7.3,1.1,2.7,0.7,21.1,2.4,7.2,0.9,5.9,0.9,3.5,1.0,12.5,2.2,12.9,1.1,12.8,1.6,9.5,1.5,14.8,2.1,12.9,1.1,13.1,1.3,12.1,1.6,14.2,2.3,15.9,1.1,16.4,1.4,16.7,2.0,14.2,2.2,19.0,1.2,20.1,1.4,22.5,1.8,12.8,1.8,10.4,1.0,11.5,1.2,15.1,1.6,5.9,1.4,7.5,0.7,8.6,0.9,11.9,1.3,3.1,0.9,2.2,0.4,2.6,0.5,3.7,0.8,0.8,0.6,1.3,0.4,1.5,0.5,2.2,0.8,0.6,0.4,40734,982,44884,1811,55515,2186,25812,1615,52515,1900,56793,2372,68326,3161,36079,2633,34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.3,(X)
5001400US0404,0404,"Congressional District 4 (114th Congress), Arizona",282598,5475,188320,5141,148904,5431,94278,4270,7.1,0.9,4.9,0.9,2.9,0.6,12.9,2.1,6.2,0.7,2.7,0.6,2.0,0.6,13.0,1.7,12.4,1.0,9.1,1.1,7.9,1.2,20.5,2.2,13.8,1.2,13.1,1.4,11.6,1.5,16.0,2.2,17.0,1.2,17.9,1.6,17.4,1.6,15.0,2.1,18.8,1.2,21.7,1.3,23.1,1.5,12.4,2.0,11.3,1.0,13.8,1.4,15.1,1.6,5.3,1.1,8.8,0.9,11.2,1.3,13.2,1.6,3.3,0.9,2.3,0.4,2.7,0.5,3.3,0.7,0.9,0.5,2.4,0.5,3.0,0.6,3.4,0.7,0.8,0.4,43771,1373,51448,1109,56799,2017,26717,1483,58184,1987,66479,2417,72682,2871,38112,2831,35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X)
5001400US0405,0405,"Congressional District 5 (114th Congress), Arizona",269256,4273,194315,3872,151972,3771,74941,3784,4.6,0.7,3.4,0.7,1.8,0.5,9.5,1.7,3.4,0.5,1.9,0.5,1.2,0.5,7.7,1.4,9.0,0.9,5.1,0.8,3.3,0.7,19.8,2.3,7.7,0.9,6.0,0.8,4.9,0.8,12.3,2.0,12.7,1.0,11.8,1.1,9.8,1.1,15.8,1.9,18.9,1.1,20.7,1.3,20.2,1.6,16.2,1.9,13.6,0.9,14.6,1.1,15.9,1.2,8.5,1.6,17.3,1.2,20.8,1.4,23.5,1.6,6.7,1.5,7.2,0.7,9.0,1.0,11.0,1.2,2.1,0.7,5.6,0.5,6.8,0.7,8.3,0.9,1.5,0.7,65129,2005,76805,2423,87131,2205,35506,2294,82351,1642,93506,2143,103859,2369,47838,2406,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
5001400US0406,0406,"Congressional District 6 (114th Congress), Arizona",299053,5353,183996,5484,142473,4864,115057,5433,5.1,0.7,3.6,0.7,2.2,0.6,8.3,1.3,3.8,0.5,2.3,0.5,1.6,0.5,6.5,1.2,8.2,0.7,5.9,0.8,4.2,0.8,12.5,1.4,9.9,1.0,8.6,1.1,6.2,1.2,12.5,1.5,13.4,0.9,9.6,1.1,8.6,1.1,19.0,1.6,18.3,1.2,18.5,1.6,17.3,1.7,18.1,1.8,11.7,0.8,12.9,1.1,13.8,1.3,9.3,1.2,13.8,0.9,17.1,1.2,19.9,1.6,7.9,1.3,6.1,0.7,8.2,1.0,9.9,1.3,2.5,0.7,9.7,0.7,13.4,1.1,16.4,1.2,3.6,0.7,61389,1165,78673,4168,93146,2947,42450,1440,92954,2589,111296,3845,127009,4761,61454,3100,31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X)
5001400US0407,0407,"Congressional District 7 (114th Congress), Arizona",224388,4675,149044,4170,78838,3294,75344,3773,13.9,1.0,12.9,1.4,4.7,1.1,21.8,2.2,8.4,0.9,6.1,1.0,3.4,0.9,12.7,1.7,15.9,1.3,15.8,1.5,13.0,1.8,16.4,2.2,11.9,1.2,12.8,1.5,12.0,1.8,11.1,1.9,15.7,1.2,16.3,1.6,17.3,1.9,13.2,1.9,16.8,1.3,16.9,1.5,21.8,2.2,13.0,1.9,8.0,0.9,8.8,1.1,11.9,1.5,6.3,1.4,7.1,0.8,7.8,1.0,12.0,1.5,4.3,1.1,1.4,0.3,1.8,0.4,2.4,0.6,0.6,0.3,0.8,0.2,0.8,0.3,1.4,0.6,0.7,0.3,34881,1637,36510,1161,49504,2706,24210,2637,45340,1250,47265,1482,59852,2000,36365,2543,37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X)
5001400US0408,0408,"Congressional District 8 (114th Congress), Arizona",284913,5645,197215,5255,156974,4779,87698,4798,5.2,0.7,3.4,0.7,1.7,0.5,10.5,1.8,3.6,0.5,1.4,0.4,0.9,0.4,8.7,1.5,8.3,0.8,4.4,0.8,3.0,0.7,17.2,2.2,10.8,1.1,8.5,1.0,7.2,1.0,16.2,2.4,14.4,1.1,12.7,1.2,11.7,1.3,18.5,2.1,18.8,1.2,21.3,1.5,20.8,1.6,14.0,1.8,14.4,1.0,17.4,1.2,18.7,1.4,7.2,1.3,15.9,1.1,19.9,1.5,22.7,1.6,5.9,1.2,4.9,0.6,6.2,0.8,7.4,1.0,0.9,0.5,3.7,0.6,4.8,0.8,5.9,0.9,0.9,0.5,59512,1846,72595,2470,80821,1852,32511,1854,74722,2112,87108,2798,95413,3270,43068,2135,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
5001400US0409,0409,"Congressional District 9 (114th Congress), Arizona",292217,5640,154478,4998,103453,4302,137739,5480,7.8,0.9,5.1,1.0,1.6,0.7,12.2,1.5,5.1,0.7,3.1,0.7,2.0,0.8,7.5,1.3,10.9,0.8,7.5,1.1,5.5,1.3,14.7,1.5,10.4,0.9,9.1,1.2,6.6,1.2,12.9,1.5,14.7,1.2,12.8,1.3,12.2,1.6,17.0,1.8,18.7,1.2,19.7,1.7,18.7,2.2,16.8,1.7,11.5,1.1,13.5,1.5,15.3,1.8,9.2,1.4,11.9,1.0,15.9,1.3,19.6,1.8,6.0,1.0,4.4,0.6,6.2,0.8,8.6,1.1,2.0,0.5,4.7,0.6,7.1,0.9,9.9,1.3,1.8,0.6,51106,1436,64365,2687,78992,4031,36510,1258,70859,2266,87016,3362,104166,4738,49865,2534,35.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X)
5001400US0501,0501,"Congressional District 1 (114th Congress), Arkansas",282699,3718,188482,4312,131954,3837,94217,4205,9.9,0.8,6.3,0.9,1.9,0.5,18.6,1.9,9.1,0.9,5.0,0.9,2.6,0.6,17.7,1.8,15.0,1.0,12.6,1.0,9.3,1.0,20.5,2.0,13.4,0.9,13.1,1.0,12.1,1.2,14.5,1.6,16.3,1.0,17.2,1.3,17.6,1.5,13.7,1.9,16.7,1.1,19.8,1.4,23.1,1.7,9.0,1.7,9.2,0.9,12.0,1.2,15.1,1.7,3.0,0.8,6.9,0.6,9.4,1.0,12.2,1.3,1.7,0.6,1.9,0.4,2.3,0.5,3.2,0.7,0.9,0.6,1.6,0.3,2.2,0.5,2.8,0.7,0.3,0.2,37247,1418,46120,1422,56186,1880,20802,1100,50187,1550,59499,2094,70107,2613,29563,1670,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X)
